교과,학년군,영역,성취기준코드,성취기준
음악,3-4학년군,연주,[4음01-01],바른 자세와 주법을 익혀 노래 부르거나 악기로 연주한다.
음악,3-4학년군,연주,[4음01-02],기초적인 음악 요소를 살려 노래 부르거나 악기로 연주하고 느낌을 이야기한다.
음악,3-4학년군,연주,[4음01-03],노래와 악기 연주에 어울리는 신체표현이나 놀이를 하며 음악을 즐긴다.
음악,3-4학년군,연주,[4음01-04],생활 속에서 음악을 경험하며 연주에 관심을 가지고 참여한다.
음악,3-4학년군,감상,[4음02-01],음악을 듣고 기초적인 음악 요소를 탐색하며 반응한다.
음악,3-4학년군,감상,[4음02-02],다양한 음악을 듣고 음악적 특징을 발견한다.
음악,3-4학년군,감상,[4음02-03],다양한 종류의 음악을 듣고 음악의 분위기를 묘사하거나 쓰임을 이야기한다.
음악,3-4학년군,감상,[4음02-04],생활 속에서 음악을 들으며 느낌과 호기심을 갖고 즐긴다.
음악,3-4학년군,감상,[4음02-05],우리 지역의 음악 문화유산을 찾아 듣고 국악을 즐기는 태도를 갖는다.
음악,3-4학년군,창작,[4음03-01],느낌과 상상을 즉흥적으로 표현하며 음악에 대한 흥미를 갖는다.
음악,3-4학년군,창작,[4음03-02],악곡의 일부를 바꾸어 표현하고 간단한 악보로 나타낸다.
음악,3-4학년군,창작,[4음03-03],기초적인 음악 요소를 활용하여 소리나 음악으로 표현한다.
음악,3-4학년군,창작,[4음03-04],생활 주변의 소리나 장면을 모방하며 음악의 새로움을 즐기는 태도를 갖는다.
음악,5-6학년군,연주,[6음01-01],바른 주법과 표현 기법을 익혀 노래나 악기로 느낌을 담아 연주한다.
음악,5-6학년군,연주,[6음01-02],음악 요소를 살려 노래나 악기로 발표하고 과정을 돌아본다.
음악,5-6학년군,연주,[6음01-03],소리의 어울림을 생각하며 다양한 방법으로 함께 표현한다.
음악,5-6학년군,연주,[6음01-04],간단한 형태의 연주를 준비하여 생활 속 음악 활동에 참여한다.
음악,5-6학년군,감상,[6음02-01],음악을 듣고 음악의 요소를 감지하며 구별한다.
음악,5-6학년군,감상,[6음02-02],다양한 문화권의 음악을 듣고 음악적 특징과 음악의 간단한 구성을 인식한다.
음악,5-6학년군,감상,[6음02-03],다양한 종류의 음악을 듣고 음악의 배경과 활용을 설명한다.
음악,5-6학년군,감상,[6음02-04],생활 속에서 음악을 찾아 들으며 아름다움을 느끼고 공감한다.
음악,5-6학년군,감상,[6음02-05],우리나라 음악 문화유산을 찾아 듣고 국악의 가치를 인식한다.
음악,5-6학년군,창작,[6음03-01],느낌과 아이디어를 떠올려 여러 매체나 방법으로 자신감 있게 표현한다.
음악,5-6학년군,창작,[6음03-02],기초적인 기보를 활용하여 간단한 조건에 따라 악곡의 일부를 바꾼다.
음악,5-6학년군,창작,[6음03-03],음악의 요소를 활용하여 간단한 음악을 만든다.
음악,5-6학년군,창작,[6음03-04],생활 주변 상황이나 이야기를 활용하여 음악을 만들며 열린 태도를 갖는다.
