모형키,모형명,단계번호,단계명,교사발화예시,권장시간비율
direct,직접교수,1,설명,"이 시간에 공부할 문제를 알아봅시다.",
direct,직접교수,2,시범,"선생님이 쓰레기 매립장을 공원으로 조성한 좋은 예시 자료를 한 번 보여 주겠습니다.",
direct,직접교수,3,안내된 연습,"다 같이 읽어 볼까요?",
direct,직접교수,4,독립된 연습,"꼭 정리해 오도록 합니다.",
inquiry,탐구학습,1,문제 인식,"빛은 어떤 방향으로 나아갈까?",
inquiry,탐구학습,2,가설 설정,"어떤 결과가 나올지 예상하고, 이유를 간단히 작성한다.",
inquiry,탐구학습,3,탐구 설계,"어떻게 확인할 수 있을까?",
inquiry,탐구학습,4,자료 해석,"예상과 결과는 어떻게 달랐나요?",
inquiry,탐구학습,5,결론,"이 성질은 어디에 활용될 수 있을까요?",
cooperative,협동학습,1,과제 제시,"용기란 어떻게 행동하는 것일까요?",
cooperative,협동학습,2,모둠 활동,"모둠별로 토의해 봅시다.",
cooperative,협동학습,3,발표 공유,"모둠별 토의가 끝났으므로 지금부터 전체 토의를 하겠습니다.",
cooperative,협동학습,4,정리,"어느 조에서 먼저 발표하시겠습니까?",
problem,문제해결,1,문제 확인,"그럼, 이렇게 버려진 쓰레기 처리 문제에 관한 토론을 해 보도록 하겠습니다.",
problem,문제해결,2,해결 계획,"토론 주제는 어떤 것으로 하는 것이 좋을까요?",
problem,문제해결,3,실행,"환경 보전 활동 자료나 사례를 조사해 온 모둠에서는 발표를 해 봅니다.",
problem,문제해결,4,검토,"우리 지역에 쓰레기 매립장을 설치할 수 있는 방안은 무엇일까요?",
discussion,토의토론,1,논제 파악,"지금부터 토론회를 시작하겠습니다.",
discussion,토의토론,2,입장 정리,"토론 주제에 대한 입장을 정한다.",
discussion,토의토론,3,토의,"그럼, 질문이 있는 친구는 해 주시기 바랍니다.",
discussion,토의토론,4,합의·정리,"토론을 하고 난 후 자기 생각이 바뀐 사람이 있습니까?",
play,놀이중심,1,놀이 안내,"놀이를 만들고 함께 즐기려면 어떤 규칙과 약속이 필요할까?",
play,놀이중심,2,탐색,"도구를 사용하는 방법에는 무엇이 있을까?",
play,놀이중심,3,놀이,"어떤 규칙이 있으면 놀이를 즐겁게 할 수 있을까?",
play,놀이중심,4,나누기,"내가 교과서 개발자라면 어떤 말놀이를 담으면 좋을까?",
response,반응중심,1,텍스트 만나기,"시를 읽고 시에서 나타내고자 하는 생각을 파악할 수 있는가?",
response,반응중심,2,반응 형성,"빛난다고 할 수 있습니까?",
response,반응중심,3,반응 명료화,"왜 그렇게 생각했습니까?",
response,반응중심,4,반응 심화,"어떻게 실천하면 좋겠습니까?",
value,가치갈등,1,갈등 상황 제시,"내가 민호라면 어떻게 하겠습니까?",
value,가치갈등,2,입장 선택,"선택한 입장을 말해 볼까요?",
value,가치갈등,3,근거 토론,"왜! 그와 같은 입장을 선택했는지 이유와 함께 말해 볼까요?",
value,가치갈등,4,가치 명료화,"토론을 하고 난 후 자기 생각이 바뀐 사람이 있습니까?",
project,프로젝트,1,주제 정하기,"우리가 디지털 시민으로서 디지털 사회에서 안전하고 행복하게 살아가기 위해 필요한 지식, 가치, 태도는 무엇일까?",
project,프로젝트,2,계획,"어떻게 구성해야 할까?",
project,프로젝트,3,탐구·제작,"사전에 들어가면 좋을 내용은?",
project,프로젝트,4,발표,"프로젝트를 우리 학교 학생들에게 더 알릴 수 있는 방법은?",
project,프로젝트,5,성찰,"친구들이 쓴 이야기가 어땠나요?",
concept,개념형성,1,사례 제시,"공통점은 무엇인가요?",
concept,개념형성,2,속성 찾기,"차이점은 무엇일까?",
concept,개념형성,3,개념 정의,"무엇이라고 할 수 있을까요?",
concept,개념형성,4,적용·확인,"차이점을 발견할 수 있을까?",
