교과,학년군,영역,성취기준코드,성취기준
영어,3-4학년군,이해,[4영01-01],알파벳과 쉽고 간단한 단어의 소리를 듣고 식별한다.
영어,3-4학년군,이해,[4영01-02],알파벳 대소문자를 식별하여 읽는다.
영어,3-4학년군,이해,[4영01-03],"쉽고 간단한 단어, 어구, 문장을 듣고 강세, 리듬, 억양을 식별한다."
영어,3-4학년군,이해,[4영01-04],"소리와 철자의 관계를 이해하며 쉽고 간단한 단어, 어구, 문장을 소리 내어 읽는다."
영어,3-4학년군,이해,[4영01-05],"쉽고 간단한 단어, 어구, 문장의 의미를 이해한다."
영어,3-4학년군,이해,[4영01-06],자기 주변 주제에 관한 담화의 주요 정보를 파악한다.
영어,3-4학년군,이해,[4영01-07],적절한 전략을 활용하여 담화나 문장을 듣거나 읽는다.
영어,3-4학년군,이해,[4영01-08],다양한 매체로 표현된 담화나 문장을 흥미를 가지고 듣거나 읽는다.
영어,3-4학년군,이해,[4영01-09],"시, 노래, 이야기를 공감하며 듣는다."
영어,3-4학년군,이해,[4영01-10],자기 주변 주제나 문화에 관한 담화나 문장을 존중의 태도로 듣거나 읽는다.
영어,3-4학년군,표현,[4영02-01],"쉽고 간단한 단어, 어구, 문장을 강세, 리듬, 억양에 맞게 따라 말한다."
영어,3-4학년군,표현,[4영02-02],알파벳 대소문자를 구별하여 쓴다.
영어,3-4학년군,표현,[4영02-03],소리와 철자의 관계를 바탕으로 쉽고 간단한 단어를 쓴다.
영어,3-4학년군,표현,[4영02-04],"실물, 그림, 동작 등을 보고 쉽고 간단한 문장으로 말하거나 단어나 어구를 쓴다."
영어,3-4학년군,표현,[4영02-05],"자신, 주변 사람이나 사물의 소개나 묘사를 쉽고 간단한 문장으로 말하거나 보고 쓴다."
영어,3-4학년군,표현,[4영02-06],행동 지시를 쉽고 간단한 문장으로 말하거나 보고 쓴다.
영어,3-4학년군,표현,[4영02-07],자신의 감정을 쉽고 간단한 문장으로 말하거나 보고 쓴다.
영어,3-4학년군,표현,[4영02-08],자기 주변 주제에 관한 담화의 주요 정보를 묻거나 답한다.
영어,3-4학년군,표현,[4영02-09],적절한 매체나 전략을 활용하여 창의적으로 의미를 표현한다.
영어,3-4학년군,표현,[4영02-10],의사소통 활동에 흥미와 자신감을 가지고 대화 예절을 지키며 참여한다.
영어,5-6학년군,이해,[6영01-01],"간단한 단어, 어구, 문장을 듣고 강세, 리듬, 억양을 식별한다."
영어,5-6학년군,이해,[6영01-02],"간단한 단어, 어구, 문장을 강세, 리듬, 억양에 맞게 소리 내어 읽는다."
영어,5-6학년군,이해,[6영01-03],"간단한 단어, 어구, 문장의 의미를 이해한다."
영어,5-6학년군,이해,[6영01-04],일상생활 주제에 관한 담화나 글의 세부 정보를 파악한다.
영어,5-6학년군,이해,[6영01-05],일상생활 주제에 관한 담화나 글의 중심 내용을 파악한다.
영어,5-6학년군,이해,[6영01-06],일상생활 주제에 관한 담화나 글에서 일이나 사건의 순서를 파악한다.
영어,5-6학년군,이해,[6영01-07],적절한 전략을 활용하여 일상생활 주제에 관한 담화나 글을 듣거나 읽는다.
영어,5-6학년군,이해,[6영01-08],다양한 매체로 표현된 담화나 글을 흥미와 자신감을 가지고 듣거나 읽는다.
영어,5-6학년군,이해,[6영01-09],"시, 노래, 이야기를 공감하며 듣거나 읽는다."
영어,5-6학년군,이해,[6영01-10],일상생활 주제나 문화에 관한 담화나 글을 포용의 태도로 듣거나 읽는다.
영어,5-6학년군,표현,[6영02-01],"간단한 단어, 어구, 문장을 강세, 리듬, 억양에 맞게 말한다."
영어,5-6학년군,표현,[6영02-02],"실물, 그림, 동작 등을 보고 간단한 단어, 어구, 문장으로 말하거나 쓴다."
영어,5-6학년군,표현,[6영02-03],알파벳 대소문자와 문장 부호를 문장에서 바르게 사용한다.
영어,5-6학년군,표현,[6영02-04],주변 사람이나 사물을 간단한 문장으로 소개하거나 묘사한다.
영어,5-6학년군,표현,[6영02-05],"주변 장소나 위치, 행동 순서나 방법을 간단한 문장으로 설명한다."
영어,5-6학년군,표현,[6영02-06],"자신의 감정이나 의견, 경험이나 계획을 간단한 문장으로 표현한다."
영어,5-6학년군,표현,[6영02-07],일상생활 주제에 관한 담화나 글의 세부 정보를 간단한 문장으로 묻거나 답한다.
영어,5-6학년군,표현,[6영02-08],예시문을 참고하여 목적에 맞는 간단한 글을 쓴다.
영어,5-6학년군,표현,[6영02-09],적절한 매체와 전략을 활용하여 창의적으로 의미를 생성하고 표현한다.
영어,5-6학년군,표현,[6영02-10],의사소통 활동에 흥미와 자신감을 가지고 참여하여 협력적으로 수행한다.
