교과,학년군,영역,성취기준코드,성취기준
통합,1-2학년군,우리는 누구로살아 갈까,[2바01-01],학교 생활 습관과 학습 습관을 형성하여 안전하고 건강하게 생활한다.
통합,1-2학년군,우리는 누구로살아 갈까,[2바01-02],나를 이해하고 존중하며 생활한다.
통합,1-2학년군,우리는 누구로살아 갈까,[2바01-03],가족이나 주변 사람을 배려하며 관계를 맺는다.
통합,1-2학년군,우리는 누구로살아 갈까,[2바01-04],생태환경에서 더불어 살기 위해 노력한다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2바02-01],공동체에서 내가 할 수 있는 일을 찾아보고 실천한다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2바02-02],우리나라의 소중함을 알고 사랑하는 마음을 기른다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2바02-03],차이나 다양성을 서로 존중하면서 생활한다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2바02-04],새로운 활동에 호기심을 갖고 도전한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2바03-01],하루의 가치를 느끼며 지금을 소중히 여긴다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2바03-02],계절의 변화에 대응하며 생활한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2바03-03],여러 인물의 삶을 통해 공동체성을 기른다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2바03-04],공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2바04-01],모두를 위한 생활환경을 만드는 데 참여한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2바04-02],다양한 생각이나 의견에 대해 개방적인 태도를 형성한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2바04-03],여럿이 하는 활동에 관심을 갖고 자발적으로 협력한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2바04-04],지금까지의 생활 습관과 학습 습관을 되돌아본다.
통합,1-2학년군,우리는 누구로살아 갈까,[2슬01-01],학교 안팎의 모습과 생활을 탐색하며 안전한 학교 생활을 한다.
통합,1-2학년군,우리는 누구로살아 갈까,[2슬01-02],나를 탐색하여 나에 대해 설명한다.
통합,1-2학년군,우리는 누구로살아 갈까,[2슬01-03],가족이나 주변 사람에게 관심을 갖고 함께 살아가는 모습을 탐구한다.
통합,1-2학년군,우리는 누구로살아 갈까,[2슬01-04],"사람과 자연, 동식물이 어우러져 사는 생태를 탐구한다."
통합,1-2학년군,우리는 어디서 살아 갈까,[2슬02-01],우리가 살고 있는 마을과 사람들이 생활하는 모습을 살펴본다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2슬02-02],우리나라의 모습이나 문화를 조사한다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2슬02-03],알고 싶은 나라를 탐구하며 다른 나라에 관심을 갖는다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2슬02-04],궁금한 세계를 다양한 매체로 탐색한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2슬03-01],하루의 변화와 사람들이 하루를 살아가는 모습을 탐색한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2슬03-02],계절과 생활의 관계를 탐구한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2슬03-03],관심 있는 대상의 과거와 현재를 살펴보고 미래를 상상한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2슬03-04],우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2슬04-01],생활도구의 모양이나 기능을 탐색하고 바꾸어본다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2슬04-02],상상한 것을 다양한 매체와 재료로 구현한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2슬04-03],경험한 것 중에서 관심 있는 주제를 정하고 조사한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2슬04-04],배운 것과 배울 것을 연결하며 앞으로의 배움을 상상한다.
통합,1-2학년군,우리는 누구로살아 갈까,[2즐01-01],"즐겁게 놀이하며, 건강하고 안전하게 생활한다."
통합,1-2학년군,우리는 누구로살아 갈까,[2즐01-02],놀이하며 내 몸의 움직임이나 감각을 느낀다.
통합,1-2학년군,우리는 누구로살아 갈까,[2즐01-03],가족이나 주변 사람과 소통하며 어울린다.
통합,1-2학년군,우리는 누구로살아 갈까,[2즐01-04],우리를 둘러싼 자연의 아름다움을 감상한다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2즐02-01],내가 참여할 수 있는 문화 예술을 향유한다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2즐02-02],우리나라의 문화 예술을 즐긴다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2즐02-03],다른 나라의 문화 예술을 체험한다.
통합,1-2학년군,우리는 어디서 살아 갈까,[2즐02-04],다양한 세상을 상상하고 표현한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2즐03-01],하루를 건강하고 활기차게 지낸다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2즐03-02],자연의 변화를 느끼며 놀이한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2즐03-03],전통문화를 새롭게 표현한다.
통합,1-2학년군,우리는 지금 어떻게 살아 갈까,[2즐03-04],안전과 안녕을 위한 아동의 권리가 있음을 알고 누린다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2즐04-01],주변의 물건을 활용하여 놀잇감을 만든다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2즐04-02],자유롭게 상상하며 놀이한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2즐04-03],생각이나 느낌을 살려 전시나 공연 활동을 한다.
통합,1-2학년군,우리는 무엇을 하며 살아 갈까,[2즐04-04],기억에 남는 경험을 떠올리며 의미를 부여한다.
