교과,학년군,영역,성취기준코드,성취기준
사회,3-4학년군,우리가 사는 곳,[4사01-01],"주변 여러 장소에서의 경험과 느낌을 다양한 방식으로 표현하고, 장소감을 나누며 서로 존중하는 태도를 지닌다."
사회,3-4학년군,우리가 사는 곳,[4사01-02],"주변의 여러 장소를 살펴보고, 우리가 사는 곳을 더 살기 좋은 곳으로 만드는 방안을 탐색한다."
사회,3-4학년군,일상에서 만나는 과거,[4사02-01],"일상 속에서 시간의 흐름을 경험할 수 있는 사례를 살펴보고, 이를 바탕으로 역사의 시간 개념을 이해한다."
사회,3-4학년군,일상에서 만나는 과거,[4사02-02],"오래된 물건이나 자료들을 주변에서 찾아보고, 이를 통해 과거의 모습을 살펴볼 수 있음을 이해한다."
사회,3-4학년군,일상에서 만나는 과거,[4사02-03],지역의 변화상을 보여주는 역사 자료를 분석하여 지역 사람들의 달라진 생활 모습을 파악한다.
사회,3-4학년군,사회 변화와 다양한 문화,[4사03-01],"최근 사회 변화의 양상과 특징을 파악하고, 그로 인해 나타난 생활모습의 변화를 탐색한다."
사회,3-4학년군,사회 변화와 다양한 문화,[4사03-02],"우리 사회에 다양한 문화가 확산되면서 나타나는 긍정적 효과와 문제를 분석하고, 나와 다른 사람이나 집단의 문화를 존중하는 태도를 기른다."
사회,3-4학년군,옛날과 오늘날의 생활 모습,[4사04-01],"옛날 풍습에 대해 알아보고, 오늘날과 비교하여 변화상을 파악한다."
사회,3-4학년군,옛날과 오늘날의 생활 모습,[4사04-02],옛날부터 오늘날까지 교통의 변화에 따른 이동과 생활 모습의 변화를 이해한다.
사회,3-4학년군,옛날과 오늘날의 생활 모습,[4사04-03],옛날부터 오늘날까지 통신수단의 변화에 따른 정보 교류와 의사소통 방식의 변화를 설명한다.
사회,3-4학년군,지도로 만나는 우리 지역,[4사05-01],"우리 지역을 표현한 다양한 종류의 지도를 찾아보고, 지도의 요소를 이해한다."
사회,3-4학년군,지도로 만나는 우리 지역,[4사05-02],"지도에서 우리 지역의 위치를 파악하고, 우리 지역의 지리 정보를 탐색한다."
사회,3-4학년군,우리 지역의 문화유산,[4사06-01],"지역의 문화유산을 통해 문화유산의 의미와 유형을 알아보고, 문화유산의 가치를 탐색한다."
사회,3-4학년군,우리 지역의 문화유산,[4사06-02],"지역의 박물관, 기념관, 유적지 등을 체험하고 지역의 역사를 이해한다."
사회,3-4학년군,경제활동과 지역 간 교류,[4사07-01],"자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생함을 이해하고, 경제활동에서 합리적 선택의 방법을 탐색한다."
사회,3-4학년군,경제활동과 지역 간 교류,[4사07-02],"생산과 소비 활동을 파악하고, 인적⋅물적 교류의 사례를 통해 각 지역 및 사람들이 상호의존 관계를 맺고 있음을 탐색한다."
사회,3-4학년군,민주주의와 자치,[4사08-01],"학교 자치 사례를 통하여 민주주의의 의미를 이해하고, 학교생활에서 민주주의를 실천하는 능력을 기른다."
사회,3-4학년군,민주주의와 자치,[4사08-02],"지역에서 이루어지는 민주주의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회의 문제 해결에 참여하는 태도를 기른다."
사회,3-4학년군,지역문제를 해결하고 지역을 알리는 노력,[4사09-01],"생활 주변에서 찾을 수 있는 여러 가지 문제를 파악하고, 그 문제를 합리적으로 해결하는 능력을 기른다."
사회,3-4학년군,지역문제를 해결하고 지역을 알리는 노력,[4사09-02],"지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 노력을 알고 관심을 갖는다."
사회,3-4학년군,다양한 환경과 삶의 모습,[4사10-01],"여러 지역의 자연환경과 인문환경의 특징을 살펴보고, 환경의 이용과 개발에 따른 변화를 탐구한다."
사회,3-4학년군,다양한 환경과 삶의 모습,[4사10-02],"사례에서 도시의 인구, 교통, 산업 등의 특징을 탐구하고, 도시에서의 삶의 모습을 이해한다."
사회,5-6학년군,우리나라 국토 여행,[6사01-01],"우리나라 산지, 하천, 해안 지형의 위치를 확인하고 지형의 분포 특징을 탐구한다."
사회,5-6학년군,우리나라 국토 여행,[6사01-02],독도의 지리적 특성과 독도에 대한 역사 기록을 바탕으로 영토로서 독도의 중요성을 이해한다.
사회,5-6학년군,우리나라 지리 탐구,[6사02-01],"우리나라의 계절별 기후 특징을 자료에서 탐구하고, 기후변화로 인한 자연재해의 심각성을 이해한다."
사회,5-6학년군,우리나라 지리 탐구,[6사02-02],"우리나라의 지역별 인구 분포의 특징을 알아보고, 이에 따른 문제점과 해결 방안을 탐색한다."
사회,5-6학년군,법과 인권의 보장,[6사03-01],"일상 사례에서 법의 의미와 역할을 이해하고, 헌법에 규정된 인권이 일상생활에서 구현되는 사례를 조사하여 인권 친화적 태도를 기른다."
사회,5-6학년군,법과 인권의 보장,[6사03-02],"일상생활에서 인권이 침해되는 사례를 찾아 그 해결 방안을 탐색하고, 인권을 보호하는 활동에 참여한다."
사회,5-6학년군,유적과 유물로 살펴본 옛 사람들의 생활,[6사04-01],선사 시대와 고조선의 유적과 유물을 활용하여 당시 사람들의 생활을 추론한다.
사회,5-6학년군,유적과 유물로 살펴본 옛 사람들의 생활,[6사04-02],역사 기록이나 유적과 유물에 나타난 고대 사람들의 생각과 생활을 추론한다.
사회,5-6학년군,유적과 유물로 살펴본 옛 사람들의 생활,[6사04-03],다양한 역사 자료를 활용하여 고려 시대 사회 모습과 사람들의 생활을 추론한다.
사회,5-6학년군,"달라지는 시대, 변화하는 생활 모습",[6사05-01],조선 시대 사람들의 생각과 생활에 유교 문화가 미친 영향을 파악한다.
사회,5-6학년군,"달라지는 시대, 변화하는 생활 모습",[6사05-02],조선 후기 사회⋅문화적 변화와 개항기 근대 문물 수용 과정에서 달라진 사람들의 생활을 이해한다.
사회,5-6학년군,"식민 통치와 저항, 전쟁이 바꾼 사회와 생활",[6사06-01],일제의 식민 통치와 이에 대한 저항이 사회와 생활에 미친 영향을 이해한다.
사회,5-6학년군,"식민 통치와 저항, 전쟁이 바꾼 사회와 생활",[6사06-02],8⋅15 광복과 6⋅25 전쟁이 사회와 생활에 미친 영향을 파악한다.
사회,5-6학년군,"평화 통일을 위한 노력, 민주화와 산업화",[6사07-01],"분단으로 나타난 문제점과 분단과 관련된 장소를 평화의 장소로 만들려는 노력 등을 알아보고, 평화 통일을 위해 우리가 할 수 있는 일을 탐색한다."
사회,5-6학년군,"평화 통일을 위한 노력, 민주화와 산업화",[6사07-02],민주화와 산업화로 인해 달라진 생활 문화를 사례를 들어 이해한다.
사회,5-6학년군,민주주의와 시민 참여,[6사08-01],"민주주의에서 선거의 의미와 역할을 파악하고, 시민의 주권 행사를 위해 선거에 참여하는 태도를 기른다."
사회,5-6학년군,민주주의와 시민 참여,[6사08-02],"민주 국가에서 국회, 행정부, 법원이 하는 일에 대해 이해하고, 각 국가기관의 권력을 분립하는 이유를 탐색한다."
