교과,학년군,영역,성취기준코드,성취기준
체육,3-4학년군,운동,[4체01-01],운동과 체력의 의미를 이해하고 관계를 파악한다.
체육,3-4학년군,운동,[4체01-02],기본 체력운동의 방법과 절차를 익히며 자신의 수준에 맞는 운동을 시도한다.
체육,3-4학년군,운동,[4체01-03],운동과 건강의 의미를 이해하고 관계를 파악한다.
체육,3-4학년군,운동,[4체01-04],건강을 위한 바른 생활 습관을 이해하고 생활 속에서 규칙적으로 실천한다.
체육,3-4학년군,운동,[4체01-05],자신의 신체적 특징을 긍정적으로 인식하고 운동 계획을 세워 안전하게 활동한다.
체육,3-4학년군,운동,[4체01-06],운동과 건강한 생활 습관 형성에 관심을 갖고 적극적으로 실천한다.
체육,3-4학년군,스포츠,[4체02-01],스포츠의 의미와 유형을 파악한다.
체육,3-4학년군,스포츠,[4체02-02],기본 움직임 기술의 의미와 종류를 이해하고 스포츠와의 관계를 파악한다.
체육,3-4학년군,스포츠,[4체02-03],움직임 요소에 따른 기본 움직임 기술의 수행 방법을 파악하고 시도한다.
체육,3-4학년군,스포츠,[4체02-04],기본 움직임 기술을 연결한 복합적인 움직임 기술을 파악하고 시도한다.
체육,3-4학년군,스포츠,[4체02-05],기술형 스포츠에 적합한 기본 움직임 기술을 파악하고 시도한다.
체육,3-4학년군,스포츠,[4체02-06],전략형 스포츠에 적합한 기본 움직임 기술을 파악하고 시도한다.
체육,3-4학년군,스포츠,[4체02-07],생태형 스포츠에 적합한 기본 움직임 기술을 파악하고 시도한다.
체육,3-4학년군,스포츠,[4체02-08],움직임 기술 수행에 자신감을 갖고 적극적으로 시도한다.
체육,3-4학년군,스포츠,[4체02-09],게임 활동에 최선을 다하고 규칙을 지킨다.
체육,3-4학년군,스포츠,[4체02-10],다양한 스포츠 환경에 개방적인 태도를 갖고 적극적이고 안전하게 스포츠 활동에 참여한다.
체육,3-4학년군,표현,[4체03-01],표현 활동의 의미와 기본 움직임 기술과의 관계를 파악한다.
체육,3-4학년군,표현,[4체03-02],움직임 요소에 따른 기본 움직임 기술의 표현 방법을 파악하고 시도한다.
체육,3-4학년군,표현,[4체03-03],기본 움직임 기술을 활용하여 사물이나 자연을 모방하여 표현한다.
체육,3-4학년군,표현,[4체03-04],기본 움직임 기술을 활용하여 느낌이나 생각을 표현한다.
체육,3-4학년군,표현,[4체03-05],기본 움직임 기술을 리듬에 맞춰 표현한다.
체육,3-4학년군,표현,[4체03-06],기본 움직임 기술을 도구를 활용하여 표현한다.
체육,3-4학년군,표현,[4체03-07],움직임의 심미적 표현에 대한 호기심과 감수성을 나타낸다.
체육,5-6학년군,운동,[6체01-01],건강 체력과 운동 체력의 의미와 요소를 파악하고 다양한 운동 방법을 탐색한다.
체육,5-6학년군,운동,[6체01-02],건강 체력과 운동 체력을 측정하고 자신의 체력 수준에 맞는 운동을 시도한다.
체육,5-6학년군,운동,[6체01-03],성장 발달의 의미와 특성을 이해하고 운동과의 관계를 파악한다.
체육,5-6학년군,운동,[6체01-04],"운동 및 생활 속 위험 상황, 성장 발달을 저해하는 생활 방식의 문제점을 파악하고 예방 및 대처 방법을 익혀 안전하게 활동한다."
체육,5-6학년군,운동,[6체01-05],체력 운동을 끈기 있게 규칙적으로 수행한다.
체육,5-6학년군,운동,[6체01-06],"성장과 발달 과정에서 나타나는 신체적, 정서적, 사회적 특성과 차이를 공감하고 위험 상황에 침착하게 대처한다."
체육,5-6학년군,스포츠,[6체02-01],기술형 스포츠의 의미와 유형을 파악한다.
체육,5-6학년군,스포츠,[6체02-02],기술형 스포츠 유형별로 기본 움직임 기술을 응용한 기본 기능을 파악하고 수행한다.
체육,5-6학년군,스포츠,[6체02-03],기술형 스포츠 유형별 활동 방법을 파악하고 기본 전략을 게임 활동에서 수행한다.
체육,5-6학년군,스포츠,[6체02-04],전략형 스포츠의 의미와 유형을 파악한다.
체육,5-6학년군,스포츠,[6체02-05],전략형 스포츠 유형별로 기본 움직임 기술을 응용한 기본 기능을 파악하고 수행한다.
체육,5-6학년군,스포츠,[6체02-06],전략형 스포츠 유형별 활동 방법을 파악하고 기본 전략을 게임 활동에서 수행한다.
체육,5-6학년군,스포츠,[6체02-07],생태형 스포츠의 의미와 유형을 파악한다.
체육,5-6학년군,스포츠,[6체02-08],생태형 스포츠 유형별로 기본 움직임 기술을 응용한 기본 기능을 파악하고 수행한다.
체육,5-6학년군,스포츠,[6체02-09],생태형 스포츠 유형별 활동 방법을 파악하고 기본 전략을 게임 활동에서 수행한다.
체육,5-6학년군,스포츠,[6체02-10],스포츠 활동에 참여하며 목표를 달성하기 위한 의지를 실천하고 상대의 기술을 인정한다.
체육,5-6학년군,스포츠,[6체02-11],스포츠 활동에 참여하며 팀원과 협력하고 구성원을 배려한다.
체육,5-6학년군,스포츠,[6체02-12],스포츠 활동에 참여하며 환경을 아끼고 감사하는 태도를 실천한다.
체육,5-6학년군,표현,[6체03-01],표현 활동의 의미와 유형을 파악한다.
체육,5-6학년군,표현,[6체03-02],스포츠 표현에서 움직임 기술을 응용한 기본 동작을 파악하고 표현한다.
체육,5-6학년군,표현,[6체03-03],스포츠 표현의 기본 동작을 다양하게 구성하여 발표하고 감상한다.
체육,5-6학년군,표현,[6체03-04],전통 표현에서 움직임 기술을 응용한 기본 동작을 파악하고 표현한다.
체육,5-6학년군,표현,[6체03-05],전통 표현의 기본 동작을 다양하게 구성하여 발표하고 감상한다.
체육,5-6학년군,표현,[6체03-06],현대 표현에서 움직임 기술을 응용한 기본 동작을 파악하고 표현한다.
체육,5-6학년군,표현,[6체03-07],현대 표현의 기본 동작을 다양하게 구성하여 발표하고 감상한다.
체육,5-6학년군,표현,[6체03-08],"다양한 표현 활동 유형을 수용하고, 움직임 표현의 아름다움을 추구한다."
